section,text
 279,Rash driving or riding on a public way is punishable with imprisonment up to 6 months or fine or both.
 304A,Causing death by negligence is punishable with imprisonment up to 2 years or fine or both.
 337,Causing hurt by act endangering life or personal safety.
 338,Causing grievous hurt by act endangering life or personal safety.
 351,Assault is an act that causes apprehension of use of criminal force.
 352,Punishment for assault or use of criminal force.
 378,Theft is taking property dishonestly without consent.
 379,Punishment for theft is imprisonment or fine or both.
 405,Criminal breach of trust.
 415,Cheating is deceiving a person fraudulently.
 420,Cheating and dishonestly inducing delivery of property.
 499,Defamation is harming reputation of a person.
 500,Punishment for defamation.
 506,Criminal intimidation and threats.
