section,text
 184,Dangerous driving is punishable with imprisonment up to 6 months or fine up to 5000 rupees or both.
 185,Driving under the influence of alcohol or drugs is punishable with imprisonment up to 6 months or fine up to 10000 rupees or both for first offence.
 186,Driving dangerously causing injury can lead to imprisonment or fine depending on severity.
 129,Wearing a helmet is mandatory for two-wheeler riders.
 130,Driver must produce license and vehicle documents when asked by police.
 131,Duty of driver to obey traffic signs and signals.
 132,Driver must stop vehicle when required by police officer.
 134,Duty of driver in case of accident includes providing medical help and reporting to police.
 146,Insurance of vehicle against third party risk is compulsory.
 177,General penalty for violation of rules where no specific punishment is provided.
 181,Driving without valid license is punishable with fine or imprisonment.
 183,Overspeeding is punishable with fine depending on vehicle type.
 194,Driving without helmet or seatbelt is punishable with fine.
 196,Driving uninsured vehicle is punishable.
